epoch,train_total,train_box,train_cls,train_dfl,train_kpt,val_total,val_box,val_cls,val_dfl,val_kpt,lr
88,11.5344,0.179908,0.00338301,1.25846,8.29573,10.8544,0.189973,0.00250348,1.23776,7.57174,0.00070933
89,11.4703,0.184251,0.00345742,1.27475,8.17453,11.558,0.23042,0.00293654,1.4037,7.72281,0.000703368
90,11.5637,0.177425,0.00342918,1.21852,8.40354,11.286,0.21507,0.00302559,1.29417,7.73026,0.000697372
91,11.4827,0.180896,0.00348906,1.21362,8.30379,10.9222,0.196649,0.00304221,1.26764,7.5444,0.000691342
92,11.2971,0.172155,0.00336557,1.22603,8.16517,11.1082,0.192172,0.0026844,1.2145,7.84383,0.000685279
93,11.4793,0.178495,0.00351148,1.23096,8.29237,11.5108,0.221527,0.00306541,1.34611,7.82861,0.000679184
94,11.5614,0.180538,0.0032639,1.23891,8.3474,11.0983,0.200711,0.0029703,1.2679,7.68966,0.000673059
95,11.4664,0.181042,0.00341161,1.23143,8.25971,11.1544,0.223641,0.00237556,1.32469,7.48885,0.000666903
96,11.3548,0.171596,0.00329855,1.20773,8.25454,12.4464,0.256915,0.00362727,1.64818,8.04543,0.00066072
97,11.6626,0.17701,0.00327845,1.25103,8.45688,10.6725,0.189195,0.00241527,1.19493,7.45995,0.000654508
98,11.2552,0.172006,0.00342663,1.20367,8.15795,10.9515,0.200624,0.00254805,1.25957,7.55615,0.000648271
99,10.9398,0.162054,0.00317738,1.17086,7.96648,11.6917,0.232086,0.00321803,1.41347,7.82922,0.000642008
100,10.9902,0.169203,0.00314399,1.21394,7.89869,11.2945,0.213893,0.00272504,1.38858,7.60605,0.00063572
101,11.0813,0.166837,0.00312102,1.17077,8.07232,10.9223,0.210201,0.00259067,1.28992,7.40964,0.00062941
102,11.0153,0.175996,0.0029964,1.20492,7.88646,11.7738,0.230276,0.00275103,1.43466,7.89337,0.000623077
103,11.3966,0.184085,0.00319448,1.26766,8.11287,11.6835,0.204011,0.00251885,1.2429,8.28783,0.000616723
104,11.151,0.177069,0.00282589,1.18545,8.04338,11.2812,0.21559,0.00231697,1.33571,7.65955,0.000610349
105,11.1681,0.171313,0.00301055,1.1734,8.12166,11.1387,0.199381,0.0030059,1.22547,7.80362,0.000603956
106,10.9174,0.162221,0.00320552,1.18972,7.91461,10.9476,0.20893,0.00251505,1.3273,7.38845,0.000597545
107,10.5461,0.154336,0.00283012,1.14767,7.66565,10.6471,0.195292,0.00242362,1.24863,7.3083,0.000591118
108,10.7866,0.15935,0.00288426,1.15011,7.86484,10.8004,0.19892,0.00253199,1.26096,7.41575,0.000584675
109,10.7537,0.166081,0.00296108,1.16786,7.75482,11.547,0.237438,0.00234972,1.46249,7.57133,0.000578217
110,10.7491,0.16846,0.00293548,1.1895,7.69988,10.9734,0.188124,0.00257565,1.20924,7.74736,0.000571746
111,10.594,0.165082,0.0031245,1.19081,7.56808,10.9018,0.195753,0.00237138,1.23637,7.57791,0.000565263
112,10.8046,0.158865,0.00279487,1.13364,7.91121,10.555,0.205584,0.00212137,1.26963,7.10758,0.000558769
113,10.8488,0.162827,0.00258224,1.15348,7.8961,10.6524,0.199115,0.00237536,1.20161,7.35547,0.000552264
114,10.8667,0.175661,0.00286077,1.18084,7.77655,10.7141,0.214955,0.00209289,1.29655,7.15608,0.000545751
115,10.7191,0.16658,0.0027605,1.14396,7.75239,10.2528,0.185306,0.00199995,1.14564,7.14358,0.00053923
116,10.3885,0.156904,0.00273315,1.14977,7.48567,10.9658,0.208066,0.00203061,1.29602,7.46027,0.000532702
117,10.3993,0.160559,0.00272691,1.13253,7.49495,10.4002,0.185313,0.00210693,1.16023,7.2689,0.000526168
118,10.1662,0.156734,0.00275152,1.10231,7.33583,10.466,0.187243,0.00189501,1.16372,7.31513,0.00051963
119,10.5012,0.157725,0.00260933,1.11623,7.64258,11.1308,0.21938,0.0021624,1.30592,7.5255,0.000513088
120,10.6116,0.165722,0.0028727,1.15873,7.62919,10.6288,0.198707,0.00210783,1.20583,7.32866,0.000506545
121,10.203,0.161618,0.00250248,1.10041,7.33902,11.1103,0.232226,0.00208529,1.35943,7.32839,0.0005
122,10.6979,0.165445,0.00278085,1.13299,7.75623,10.3784,0.197589,0.00211898,1.18965,7.11091,0.000493455
123,10.1969,0.152277,0.00264571,1.08218,7.4302,10.8902,0.221581,0.00203391,1.32813,7.23516,0.000486912
124,10.4711,0.165137,0.00277028,1.17125,7.4743,11.7217,0.256147,0.00220827,1.52371,7.51397,0.00048037
125,10.4613,0.170208,0.00263528,1.17392,7.42257,10.785,0.21211,0.00201986,1.2591,7.30453,0.000473832
126,10.2135,0.15223,0.00255654,1.09594,7.42659,10.6321,0.202045,0.00209387,1.20775,7.30407,0.000467298
127,10.3374,0.164468,0.00269232,1.15053,7.37676,10.8234,0.215663,0.00215306,1.29792,7.25801,0.00046077
128,10.4821,0.158276,0.00261329,1.14086,7.58242,10.7268,0.19971,0.002145,1.21049,7.41214,0.000454249
129,10.2674,0.161709,0.00253418,1.12242,7.36964,11.3959,0.249877,0.00201759,1.54189,7.20794,0.000447736
130,10.339,0.157096,0.00266332,1.11454,7.48768,10.7513,0.212765,0.00188737,1.2661,7.25551,0.000441231
131,10.2677,0.157413,0.00261099,1.11368,7.41527,10.4419,0.199472,0.00224294,1.25297,7.0653,0.000434737
132,10.0324,0.153618,0.00232648,1.09925,7.23024,10.8169,0.223694,0.00185398,1.33623,7.13395,0.000428254
133,9.80378,0.144653,0.0022242,1.05005,7.14269,10.4185,0.194856,0.00197645,1.20837,7.14353,0.000421783
134,10.441,0.163497,0.00251816,1.13253,7.51475,10.4201,0.214087,0.00171841,1.30638,6.854,0.000415325
135,9.98773,0.158058,0.00220469,1.09406,7.1601,10.6173,0.222731,0.00171021,1.30491,6.98861,0.000408882
136,10.2247,0.158982,0.00252435,1.10475,7.3739,10.3867,0.198873,0.00183136,1.2181,7.06709,0.000402455
137,9.74203,0.147898,0.00224757,1.07666,7.01669,10.4766,0.214243,0.00172235,1.32639,6.87931,0.000396044
138,10.098,0.150204,0.00251051,1.08069,7.3492,10.5705,0.214233,0.00185561,1.30051,7.01202,0.000389651
139,9.8198,0.148161,0.00208937,1.07265,7.09857,10.5423,0.189562,0.00179929,1.24357,7.2543,0.000383277
140,9.91561,0.150442,0.00200493,1.08749,7.15505,10.572,0.212732,0.00157706,1.26715,7.07497,0.000376923
141,9.78878,0.152235,0.00237743,1.06602,7.0468,10.8576,0.223538,0.00168542,1.31841,7.20256,0.00037059
142,9.51644,0.142477,0.00217146,1.01604,6.92272,10.0257,0.182869,0.0016226,1.1199,6.97348,0.00036428
